title,genre,release,rated,value,budget,opening,domestic,worldwide,ratio,zrating,zbudget,zopening,ztotal,compound,tweet_count
#TheHitmansBodyguard,Action,20170818,R,52.0,30000000,21384504,75468583,172779292,0.7128168,-0.3200180168606425,-0.3547075897402397,0.03823781728057242,70.68343002796026,0.4222916666666667,12
#RockDog,Adventure,20170224,PG,53.0,60000000,3704749,9420546,20830546,0.061745816666666675,-0.27042844813223715,0.1527516429392771,-0.4799094475291348,5.097085966415436,0.011274999999999995,88
#DenofThieves,Action,20180119,R,53.0,30000000,15206108,44863974,72363974,0.5068702666666667,-0.27042844813223715,-0.3547075897402397,-0.14283477045105822,49.776221087892075,0.15479300000000001,100
#ThePromise,Drama,20170421,PG-13,53.0,90000000,4095718,8224288,10524093,0.045507977777777785,-0.27042844813223715,0.6602108756187939,-0.4684511712139151,4.003677862836504,0.4769416666666666,12
#GhostintheShell,Action,20170331,PG-13,53.67,110000000,18676033,40563557,167918847,0.16978211818181818,-0.2372034370842055,0.9985170307384718,-0.04114036643670264,17.65724467896268,0.175653,100
#EverythingEverything,Drama,20170519,PG-13,54.0,10000000,11727390,34121140,45858330,1.172739,-0.2208388794038318,-0.6930137448599176,-0.24478687424120096,115.87047362725384,0.25593800000000005,100
#MazeRunnerTheDeathCure,Thriller/Suspense,20180126,PG-13,54.33,61000000,24167011,57448833,283548833,0.3961805081967213,-0.2044743217234581,0.169666950695261,0.11978580204415447,39.822815052732246,0.06913299999999999,100
#TheBossBaby,Adventure,20170331,PG,55.0,125000000,50198902,175003033,492317334,0.40159121600000003,-0.17124931067542645,1.2522466470782303,0.8827122746946201,43.005543485792046,0.23845211267605634,71
#KingsmanTheGoldenCircle,Action,20170922,R,55.0,104000000,39023010,100234838,408834838,0.37522125,-0.17124931067542645,0.8970251842025684,0.5551761820503109,39.35825323762776,0.4417170000000001,100
#ValerianandtheCityofaThousandPlanets,Adventure,20170721,PG-13,55.0,180000000,17007624,40479370,215116144,0.09448680000000001,-0.17124931067542645,2.1825885736573447,-0.0900370598543376,11.279945143273242,0.45362272727272723,44
#Flatliners,Thriller/Suspense,20170929,R,56.33,20000000,6574326,16883115,45075341,0.3287163,-0.10529518426664744,-0.5238606673000786,-0.3958096693528622,31.45085480972755,-0.006392592592592594,27
#TheLegoNinjagoMovie,Adventure,20170922,PG,56.33,70000000,20433071,59281555,122780244,0.2919010142857143,-0.10529518426664744,0.3219047204991161,0.01035381059610795,29.42741858599611,0.3016098039215686,51
#Downsizing,Comedy,20171222,R,57.0,68000000,4954287,24449754,39178452,0.07285716176470589,-0.07207017321861578,0.28807410498714825,-0.44328876489095387,6.615142578457212,0.26845800000000003,100
