title,genre,release,rated,value,budget,opening,domestic,worldwide,ratio,zrating,zbudget,zopening,ztotal
#TheZookeepersWife,Drama,20170331,PG-13,62.67,20000000,3288835,17445186,24522140,0.16444175,0.21054593284122958,-0.5238606673000786,-0.4920987963914954,-0.8041870772418398
#TheFateoftheFurious,Action,20170414,PG-13,63.0,250000000,98786705,225764765,1237466026,0.39514682,0.2269221722859417,3.366660116576217,2.306693389114072,9.392409527090303
#DeathWish,Action,20180302,R,63.0,30000000,13010267,23856431,28306431,0.4336755666666667,0.2269221722859417,-0.3547075897402397,-0.20718911292396083,0.7588630566977803
#FreeFire,Action,20170421,R,65.0,10000000,994430,1799322,3793739,0.099443,0.3261721083145006,-0.6930137448599176,-0.559341791281171,-1.187196219107759
#ChasingtheDragon,Action,20170928,N/A,65.0,200000000,138346,456854,86855981,0.00069173,0.3261721083145006,2.5208947287770225,-0.5844313687695102,1.6802792895525027
#Cars3,Adventure,20170615,G,65.0,175000000,53688680,152901115,383601115,0.30679245714285713,0.3261721083145006,2.098012034877425,0.9849885180867424,5.314538550793982
#Ferdinand,Adventure,20171215,PG,65.33,111000000,13401586,83362967,290151548,0.120735009009009,0.3425483477592128,1.0154323384944557,-0.19572057902640005,1.3287445552278954
#TigerZindaHai,Action,20171218,NOT RATED,65.5,15000000,1787108,5560921,76607340,0.11914053333333334,0.35098459232164037,-0.6084372060799981,-0.5361104774097497,-0.9722519685778571
#AnnabelleCreation,Horror,20170811,R,65.67,15000000,35006404,102092201,305492201,2.333760266666667,0.35942083688406795,-0.6084372060799981,0.437459991259304,7.627184413322678
#AlienCovenant,Horror,20170519,R,66.0,97000000,36160621,74262031,238862031,0.37278990721649485,0.3757970763287801,0.7786180299106812,0.471287065307947,3.21535895850484
#Unforgettable,Thriller/Suspense,20170421,TV-14,67.0,12000000,4785431,11368012,15668012,0.3987859166666667,0.4254220443430596,-0.6591831293479498,-0.4482374915303619,0.06612168193438595
#GoldenExits,Drama,20180209,R,67.33,10000000,11719,37801,37801,0.0011719,0.4417982837877717,-0.6930137448599176,-0.5881424741383945,-1.423984709348935
#KongSkullIsland,Adventure,20170310,PG-13,68.0,185000000,61025472,168052812,561137727,0.32986741621621624,0.47504701235733904,2.267165112437264,1.200010655400169,6.1318356842435895
#KickboxerRetaliation,Action,20180126,R,68.0,13000000,3061,4537,31049,0.00023546153846153847,0.47504701235733904,-0.6422678215919659,-0.5883962174181357,-1.343306859455514
#GoinginStyle,Comedy,20170407,PG-13,68.67,24000000,11932330,45018541,78714211,0.4971804166666667,0.5082957409269063,-0.45619943627614307,-0.23878062016980114,1.066076314311161
#JumanjiWelcometotheJungle,Adventure,20171220,PG-13,68.67,90000000,36169328,397250265,934106524,0.40188142222222223,0.5082957409269063,0.6602108756187939,0.47154224464921607,3.3172353725107993
#Marshall,Drama,20171013,PG-13,69.0,12000000,3000805,10051659,10111433,0.25006708333333333,0.5246719803716184,-0.6591831293479498,-0.500540200510678,-0.3853902999976875
#AtomicBlonde,Thriller/Suspense,20170728,R,69.0,30000000,18286420,51573925,98368372,0.6095473333333333,0.5246719803716184,-0.3547075897402397,-0.05255890194719498,1.8934885867369886
#BilalANewBreedofHero,Adventure,20180202,PG-13,69.5,30000000,309951,490515,636684,0.0103317,0.5494844643787582,-0.3547075897402397,-0.5794020761476572,-0.9330321776567958
