title,genre,release,value,budget,opening,domestic,worldwide,ratio
Table 19,Comedy,20170303,41.33,5000000,1597928,3614896,4620399,0.3195856
T2: Trainspotting,Drama,20170317,73.0,18000000,170575,2402004,42074024,0.009476388888888888
The Fate of the Furious,Action,20170414,63.0,250000000,98786705,225764765,1237466026,0.39514682
Smurfs: The Lost Village,Adventure,20170407,45.33,60000000,13210449,45020282,197268034,0.22017415
Going in Style,Comedy,20170407,68.67,24000000,11932330,45018541,78714211,0.4971804166666667
Baahubali 2: The Conclusion,Action,20170428,92.0,30000000,10430497,18985794,263585794,0.34768323333333334
The Circle,Thriller/Suspense,20170428,37.33,18000000,9034148,20497844,40651864,0.5018971111111111
Unforgettable,Thriller/Suspense,20170421,67.0,12000000,4785431,11368012,15668012,0.3987859166666667
The Promise,Drama,20170421,53.0,90000000,4095718,8224288,10524093,0.04550797777777778
Free Fire,Action,20170421,65.0,10000000,994430,1799322,3793739,0.099443
Jìyì dàshi,Thriller/Suspense,20170428,0.0,20000000,224942,587470,43326383,0.0112471
Guardians of the Galaxy Vol 2,Action,20170505,75.67,200000000,146510104,389813101,863197744,0.73255052
Pirates of the Caribbean: Dead Men Te…,Adventure,20170526,0.0,230000000,62983253,172558876,794758876,0.2738402304347826
Alien: Covenant,Horror,20170519,66.0,97000000,36160621,74262031,238862031,0.37278990721649485
Snatched,Comedy,20170512,41.67,42000000,19542248,45852178,57852177,0.46529161904761906
Baywatch,Comedy,20170525,37.0,60000000,18503871,58060186,176533570,0.30839785
King Arthur: Legend of the Sword,Adventure,20170512,46.0,175000000,15371270,39175066,140012608,0.08783582857142858
"Everything, Everything",Drama,20170519,54.0,10000000,11727390,34121140,45858330,1.172739
Diary of a Wimpy Kid: The Long Haul,Adventure,20170519,34.0,22000000,7126084,20738724,35355942,0.3239129090909091
Wonder Woman,Action,20170602,81.0,150000000,103251471,412563408,817012815,0.68834314
Despicable Me 3,Adventure,20170630,57.33,75000000,72434025,264624300,1034542646,0.965787
Transformers: The Last Knight,Action,20170621,31.67,217000000,44680073,130168683,603968683,0.20589895391705068
The Mummy,Adventure,20170609,58.33,195000000,31668375,80101125,410333326,0.16240192307692308
All Eyez on Me,Drama,20170616,37.67,45000000,26435354,44922302,54876855,0.5874523111111111
Captain Underpants: The First Epic Movie,Adventure,20170602,72.33,38000000,23851539,73921000,123261024,0.6276720789473684
Baby Driver,Thriller/Suspense,20170628,85.33,34000000,20553320,107825862,228104185,0.6045094117647059
The House,Comedy,20170630,34.67,40000000,8724795,25584504,31192743,0.218119875
Rough Night,Black Comedy,20170616,49.33,20000000,8004283,22177334,46916048,0.40021415
It Comes at Night,Horror,20170609,76.0,5000000,5988370,13985117,17387100,1.197674
The Big Sick,Romantic Comedy,20170623,86.67,5000000,421577,42872467,53005448,0.0843154
Spider-Man: Homecoming,Action,20170707,80.0,175000000,117027503,334201140,880206511,0.6687285885714286
War for the Planet of the Apes,Action,20170714,83.33,152000000,56262929,146880162,490280162,0.37015084868421055
Dunkirk,Action,20170721,89.0,150000000,50513488,188373161,499518504,0.3367565866666667
Girls Trip,Comedy,20170721,74.67,28000000,31201920,115108515,140798808,1.1143542857142856
The Emoji Movie,Adventure,20170728,17.0,50000000,24531923,86089513,216807482,0.49063846
Atomic Blonde,Thriller/Suspense,20170728,69.0,30000000,18286420,51573925,98368372,0.6095473333333333
Valerian and the City of a Thousand P…,Adventure,20170721,0.0,180000000,17007624,40479370,215116144,0.0944868
Wish Upon,Horror,20170714,33.0,12000000,5467084,14301505,23477345,0.4555903333333333
An Inconvenient Sequel,Documentary,20170728,69.67,1000000,124823,3496795,4062957,0.124823
Annabelle: Creation,Horror,20170811,65.67,15000000,35006404,102092201,305492201,2.333760266666667
