Title,Studio,Weekend Gross,% Change,Theater Count / Change,,Average,Total Gross,Budget*,Week #
"I, Tonya",Neon,264155,-,4,-,66039,264155,11,1
Darkest Hour,Focus,175006,-,4,-,43752,246761,30,1
The Square,Magn.,74233,-,4,-,18558,74233,5.5,1
Foxtrot,SPC,31629,-,4,-,7907,69883,35,1
"Roman J. Israel, Esq.",Sony,61999,-,4,-,15500,61999,22,1
Last Flag Flying,LGF,40558,-,4,-,10140,40558,-,1
My Friend Dahmer,FR,35545,-,4,-,8886,35545,-,1
Film Stars Don't Die in Liverpool,SPC,34532,-,4,-,8633,34532,-,1
Django,UTMW,11722,-,4,-,2931,11722,-,1
Survivors Guide to Prison,Grav.,8982,-,4,-,2246,8982,-,1
Birdboy: The Forgotten Children,GK,5849,-,4,-,1462,5849,-,1
The Young Karl Marx,Orch.,26097,-,3,-,8699,26097,-,1
The Insult,Cohen,24600,-,3,-,8200,24600,-,1
Happy End,SPC,23091,-,3,-,7697,23091,-,1
Hostiles,ENTMP,22849,-,3,-,7616,22849,-,1
Novitiate,SPC,22724,-,3,-,7575,22724,-,1
The Breadwinner,GK,17395,-,3,-,5798,17395,-,1
In the Fade,Magn.,10455,-,3,-,3485,16079,-,1
Nostalgia,BST,15955,-,3,-,5318,15955,-,1
The Other Side of Hope,Jan.,15495,-,3,-,5165,15495,-,1
Oh Lucy!,FM,14569,-,3,-,4856,14569,-,1
Intent to Destroy,Abr.,8699,-,3,-,2900,8699,-,1
Like Me,KL,5064,-,3,-,1688,5664,-,1
The Cured,IFC,4875,-,3,-,1625,4875,-,1
The Shape of Water,FoxS,166564,-,2,-,83282,166564,19.5,1
1945,Men.,20365,-,2,-,10183,26318,-,1
God's Own Country,Orion,17768,-,2,-,8884,23909,-,1
Wait For Your Laugh,Vita.,14946,-,2,-,7473,14946,-,1
Beuys,KL,9084,-,2,-,4542,11613,-,1
In Between,FM,5888,-,2,-,2944,11498,-,1
Desolation,PDF,11320,-,2,-,5660,11320,-,1
Keys to the Heart,CJ,9851,-,2,-,4926,9851,-,1
Before We Vanish,Super,8370,-,2,-,4185,8370,-,1
The Wedding Party 2: Destination Dubai,IronFlix,4905,-,2,-,2453,7445,-,1
Big Time,Abr.,7347,-,2,-,3674,7347,-,1
The Female Brain,IFC,6886,-,2,-,3443,6886,-,1
The Ballad of Lefty Brown,A24,5559,-,2,-,2780,5559,-,1
Brotherhood of Blades 2: The Infernal Battlefield,WGUSA,5296,-,2,-,2648,5296,-,1
Rebels on Pointe,Icar.,3270,-,2,-,1635,4809,-,1
Are We Not Cats,Cleopatra,3983,-,2,-,1992,3983,-,1
The Work,Orch.,3286,-,2,-,1643,3286,-,1
Badsville,EpicPics,3050,-,2,-,1525,3050,-,1
Miss Kiet's Children,Icar.,2529,-,2,-,1265,2529,-,1
Kangaroo,Abr.,2282,-,2,-,1141,2282,-,1
Cage Fighter,IFC,1204,-,2,-,602,1204,-,1
Tehran Taboo,KL,4962,-,1,-,4962,16006,-,1
Golden Exits,VE,11719,-,1,-,11719,11719,-,1
Naples '44,FRun,6636,-,1,-,6636,11349,-,1
Thelma,Orch.,10841,-,1,-,10841,10841,-,1
Have a Nice Day,Strand,10463,-,1,-,10463,10463,-,1
Death House,Hann.,10140,-,1,-,10140,10140,-,1
Gilbert,SD,8362,-,1,-,8362,8362,-,1
In the Intense Now,Icar.,5565,-,1,-,5565,8142,-,1
24 Frames,Jan.,8101,-,1,-,8101,8101,-,1
On the Beach at Night Alone,CGld,7594,-,1,-,7594,7594,-,1
Tall: The American Skyscraper and Louis Sullivan,CGld,7216,-,1,-,7216,7216,-,1
Bill Nye: Science Guy,PBS,7005,-,1,-,7005,7005,-,1
Western,CGld,6688,-,1,-,6688,6688,-,1
All the Queen's Horses,Argo.,6573,-,1,-,6573,6573,-,1
Mansfield 66/67,FB,6451,-,1,-,6451,6451,-,1
Porto,KL,2090,-,1,-,2090,6347,-,1
A Ciambra,IFC,6330,-,1,-,6330,6330,-,1
The Boy Downstairs,FR,5995,-,1,-,5995,5995,-,1
My Art,FM,5538,-,1,-,5538,5538,-,1
Sweet Virginia,IFC,5183,-,1,-,5183,5183,-,1
Frank Serpico,IFC,2283,-,1,-,2283,4905,-,1
Freak Show,IFC,4809,-,1,-,4809,4809,-,1
Big Sonia,Argo.,4398,-,1,-,4398,4398,-,1
Song of Granite,Osci.,3096,-,1,-,3096,4230,-,1
Shadowman,FM,4113,-,1,-,4113,4113,-,1
Apocalypsis,Indic.,3945,-,1,-,3945,3945,-,1
Mama Africa Miriam Makeba,Artma,3495,-,1,-,3495,3495,-,1
Vazante,MBox,3489,-,1,-,3489,3489,-,1
Bad Grandmas,PDF,3380,-,1,-,3380,3380,-,1
El Mar La Mar,CGld,3375,-,1,-,3375,3375,-,1
Humor Me,Shout!,3342,-,1,-,3342,3342,-,1
In the Land of Pomegranates,FRun,3072,-,1,-,3072,3072,-,1
American Socialist: The Life & Times of Eugene Victor Debs,FRun,2823,-,1,-,2823,2823,-,1
Souvenir,Strand,2267,-,1,-,2267,2267,-,1
Dreamboat,Strand,2199,-,1,-,2199,2199,-,1
Brimstone and Glory,Osci.,2125,-,1,-,2125,2125,-,1
Felicite,Strand,1713,-,1,-,1713,1713,-,1
West of the Jordan River,KL,1047,-,1,-,1047,1047,-,1
Tribes of Palos Verdes,IFC,796,-,1,-,796,796,-,1
