title,genre,release,value,budget,opening,domestic,worldwide
"Three Billboards Outside Ebbing, Miss…",Black Comedy,20171110,0.0,12000000,322168,53339205,142339205
"Roman J. Israel, Esq.",Drama,20171117,57.67,22000000,61999,11962712,12039067
Jumanji: Welcome to the Jungle,Adventure,20171220,68.67,90000000,36169328,397250265,934106524
Ferdinand,Adventure,20171215,65.33,111000000,13401586,83362967,290151548
The Greatest Showman,Musical,20171220,60.67,84000000,8805843,167614558,388714558
Downsizing,Comedy,20171222,57.0,68000000,4954287,24449754,39178452
Father Figures,Comedy,20171222,31.0,25000000,3287451,17501244,20597799
Just Getting Started,Comedy,20171208,22.0,22000000,3201459,6069605,6709821
The Post,Drama,20171222,81.33,50000000,526011,81159866,152400164
"I, Tonya",Black Comedy,20171208,81.0,11000000,264155,29509813,45709813
The Shape of Water,Drama,20171201,85.33,19500000,166564,60940802,148340802
Maze Runner: The Death Cure,Thriller/Suspense,20180126,54.33,61000000,24167011,57448833,283548833
12 Strong,Drama,20180119,59.33,35000000,15815025,45304911,59282395
Den of Thieves,Action,20180119,53.0,30000000,15206108,44863974,72363974
Forever My Girl,Drama,20180119,39.33,3500000,4245630,16251220,16251220
Black Panther,Action,20180216,88.0,200000000,202003951,561697180,1078297180
Fifty Shades Freed,Drama,20180209,29.33,55000000,38560195,98382615,359382615
Peter Rabbit,Adventure,20180209,57.0,50000000,25010928,93433524,119633524
Game Night,Comedy,20180223,74.0,37000000,17005332,45004023,69608622
The 15:17 to Paris,Drama,20180209,40.0,30000000,12554286,35772875,53172875
Annihilation,Thriller/Suspense,20180223,81.67,55000000,11071584,26246833,26246833
Winchester,Thriller/Suspense,20180202,32.0,3500000,9307626,24871652,38511652
Early Man,Adventure,20180216,70.0,50000000,3190525,8030418,37017343
Bilal: A New Breed of Hero,Adventure,20180202,69.5,30000000,309951,490515,636684
A Wrinkle in Time,Adventure,20180309,57.0,103000000,33123609,33123609,39423609
Red Sparrow,Thriller/Suspense,20180302,60.67,69000000,16853422,31471006,83271006
Death Wish,Action,20180302,63.0,30000000,13010267,23856431,28306431
The Hurricane Heist,Thriller/Suspense,20180309,,40000000,3024399,3024399,6184399
Sleepless,Thriller/Suspense,2017-01-12,37.67,30000000,8344128,20783704,27224309
Raees,Action,2017-01-25,68.5,9645980,1798379,2369469,5429008
The Resurrection of Gavin Stone,Comedy,2017-01-20,49.0,2000000,1206771,2303792,2303792
