release,title,genre,budget,opening,domestic,worldwide
20170224,Collide,Action,29200000,1512824,2280004,5278519
20170203,The Comedian,Comedy,0,1100000,1658706,1658706
20170217,Todos Queremos a Alguien,Romantic Comedy,0,924201,1915789,6491385
20170210,Jolly LLB 2,Black Comedy,0,774355,1654254,25461514
20170210,2017 Oscar Shorts,Multiple Genres,0,692399,2835355,2837748
20170203,I Am Not Your Negro,Documentary,0,686378,7123919,7664759
20170203,Xi You Fu Yao Pian,Action,0,463883,880346,248805149
20170224,Bitter Harvest,Drama,21000000,219357,557241,606162
20170210,Cheng feng po lang,Drama,0,160739,469706,151933650
20170210,A United Kingdom,Drama,0,66510,3902185,11010064
20170210,KEDi,Documentary,0,40103,2834262,4180491
20170203,Chapter & Verse,Drama,0,32713,84147,84147
20170224,Ma vie de Courgette,Adventure,0,28472,309768,558588
20170201,Mr. Gaga,Documentary,0,25354,173994,178607
20170203,Growing up Smith,Comedy,2000000,14867,35312,35312
20170210,Under sandet,Thriller/Suspense,0,13754,434640,3212389
20170201,Córki dancingu,Drama,0,7370,101657,102986
20170217,Keep Quiet,Documentary,0,6500,50454,50454
20170217,XX,Horror,0,6222,30911,41067
20170217,From Nowhere,Drama,0,5408,8109,8109
20170203,Grace of Jake,Drama,0,4784,23078,23078
20170203,Ve Si Sai Gon,Action,0,2252,11314,11314
20170217,Lovesong,Drama,0,2215,10545,10545
20170214,The Crooked Man,,0,0,0,0
20170214,Sisters of the Plague,,0,0,0,0
20170203,War on Everyone,Comedy,0,0,0,697935
20170214,Taken Heart,,0,0,0,0
20170221,Heaven Sent,,0,0,0,0
20170215,The King of New Orleans,,0,0,0,0
20170207,Killing Reagan,Drama,0,0,0,0
20170207,Barash,,0,0,0,0
20170203,Wheeler,Drama,0,0,0,0
20170228,The Creature Below,,0,0,0,0
20170216,Disney’s Newsies: The Broadway Musical,Musical,0,0,0,192651
20170217,My Name Is Emily,Drama,0,0,0,14993
20170228,A*P*E,Adventure,0,0,0,0
20170207,Beyond Redemption,Action,0,0,0,261
20170203,American Violence,Thriller/Suspense,0,0,0,0
20170228,Come Hell or High Water: The Battle f…,,0,0,0,0
20170207,Deadly Virtues: Love.Honor.Obey,,0,0,0,0
20170217,Irada,Drama,0,0,0,0
20170224,Memoria desmemoriada,Documentary,0,0,0,0
20170203,Confidential Assignment,Action,0,0,475618,56450663
20170207,Cross Wars,,0,0,0,0
20170210,Havenhurst,Horror,0,0,0,39807
20170224,Dying Laughing,Documentary,0,0,0,0
20170217,American Fable,Thriller/Suspense,0,0,0,0
20170203,A Good American,Documentary,0,0,0,2961
20170207,"Baby, Baby, Baby!",Comedy,0,0,0,730513
20170214,Air Bound,Adventure,0,0,0,0
20170221,Waffle Street,,0,0,0,0
20170214,You May Now Kill the Bride,,0,0,0,0
20170228,Kurîpî: Itsuwari no rinjin,Thriller/Suspense,0,0,0,3435
20170217,In Dubious Battle,Drama,15000000,0,0,214182
20170203,Eloise,Horror,0,0,0,316649
20170228,Sound of Redemption: The Frank Morgan…,Documentary,0,0,0,0
20170207,Sinbad and the War of the Furies,,0,0,0,0
20170210,Running Wild,Drama,0,0,0,472
20170228,The Business of Amateurs,Documentary,0,0,0,0
20170207,Jonathan,,0,0,0,0
20170203,Youth in Oregon,Drama,0,0,0,0
20170210,Stray Bullets,Thriller/Suspense,0,0,0,0
20170228,Framed,,0,0,0,0
20170217,Running Shaadi,Romantic Comedy,0,0,0,8695
20170210,The Adventure Club,Adventure,0,0,0,0
20170223,Is Genesis History?,Documentary,0,0,2570355,2570355
20170207,Dead West,,0,0,0,0
20170207,Like Cotton Twines,,0,0,0,0
20170221,The Great & The Small,Drama,0,0,0,0
20170224,Kiki,Documentary,0,0,0,0
20170224,As You Are,Drama,0,0,0,0
20170207,A Midsummer’s Hawaiian Dream,Concert/Performance,0,0,0,0
20170205,Oklahoma City,Documentary,0,0,0,0
20170210,I am Jane Doe,Documentary,0,0,0,0
20170214,It Ain’t Pretty,Documentary,0,0,0,0
20170210,Left on Purpose,Documentary,0,0,0,0
20170217,The Parrot Heads Documentary,Documentary,0,0,0,0
20170228,Lost Cat Corona,,0,0,0,0
20170221,Tie the Knot,,0,0,0,0
20170207,Elizabeth at 90: A Family Tribute,Documentary,0,0,0,0
20170207,Moontrap: Target Earth,,0,0,0,0
20170203,Dark Night,Drama,0,0,0,362
20170203,Don't Knock Twice,Horror,0,0,0,728499
20170228,Cut to the Chase,Action,0,0,0,0
20170228,Stuff,,0,0,0,0
20170207,Akron,Drama,0,0,0,0
20170224,Jojakdwen doshi,Adventure,0,0,0,18755496
20170224,Drifter,Thriller/Suspense,0,0,0,0
20170228,A New High,Documentary,0,0,0,0
20170221,Punching Henry,Comedy,0,0,0,0
20170317,Beauty and the Beast,Musical,160000000,174750616,504014165,1263109573
20170303,Logan,Action,127000000,88411916,226277068,615577068
20170310,Kong: Skull Island,Adventure,185000000,61025472,168052812,561137727
20170331,The Boss Baby,Adventure,125000000,50198902,175003033,492317334
20170324,Power Rangers,Action,120000000,40300288,85364450,142364450
20170331,Ghost in the Shell,Action,110000000,18676033,40563557,167918847
20170303,The Shack,Drama,0,16172119,57386418,96938619
20170324,Life,Thriller/Suspense,58000000,12501936,30234022,101003310
20170324,CHiPS,Action,25000000,7722802,18600152,23190697
20170303,Before I Fall,Drama,0,4690214,12241072,16170174
20170317,The Belko Experiment,Horror,5000000,4137230,10166820,10753399
20170331,The Zookeeper’s Wife,Drama,20000000,3288835,17445186,24522140
20170324,Slamma Jamma,Drama,0,1687000,1687000,1687000
20170303,Table 19,Comedy,5000000,1597928,3614896,4620399
20170310,Badrinath Ki Dulhania,Comedy,0,862008,1993259,23888579
20170324,Wilson,Comedy,0,336227,653951,710383
20170331,The Devotion of Suspect X,Thriller/Suspense,0,323207,686435,59250831
20170324,Phillauri,Black Comedy,0,260982,467596,3649641
20170317,T2: Trainspotting,Drama,18000000,170575,2402004,42074024
20170310,The Ottoman Lieutenant,Drama,0,149830,240978,397852
20170331,The Prison,Action,0,80376,207481,21522551
20170310,Personal Shopper,Thriller/Suspense,0,79175,1305195,2162046
20170303,Tim Timmerman: Hope of America,Comedy,0,50604,97787,97787
20170317,Song to Song,Drama,0,50559,443684,1041573
20170310,The Sense of an Ending,Drama,0,39691,1274420,4475783
20170303,The Last Word,Drama,0,37519,1779620,2441390
20170317,Umi yori mo mada fukaku,Drama,0,27880,272132,1388761
20170310,Raw,Horror,0,24825,514870,3104666
20170317,Haebing,Drama,0,21234,43144,8849149
20170315,Frantz,Drama,0,18745,880883,2766092
20170303,Ismach Hatani,Comedy,0,16620,1200885,1272801
20170331,Cézanne Et Moi,Drama,0,15744,257597,501955
20170324,I Called Him Morgan,Documentary,0,14154,97711,97711
20170331,Carrie Pilby,Comedy,0,13944,18957,26889
20170331,The Blackcoat’s Daughter,Horror,0,12402,20435,20435
20170310,My Scientology Movie,Documentary,0,11180,22936,2215428
20170331,David Lynch: The Art Life,Documentary,0,10823,171419,282042
20170331,La Mort de Louis XIV,Drama,0,8002,43635,90861
20170303,Donald Cried,Comedy,0,7977,61406,61406
20170317,Qing mei zhu ma,Drama,0,7333,12897,12897
20170303,Ugetsu monogatari,Drama,0,6154,11198,24941
20170303,The Freedom to Marry,Documentary,0,6142,6142,6142
20170322,"A Woman, A Part",Drama,0,5869,36838,36838
20170310,Window Horses,Adventure,0,5767,48105,48105
20170303,Junction 48,Multiple Genres,0,5516,12795,12795
20170310,The Jazz Funeral,Adventure,0,3792,7103,7103
20170303,Love & Taxes,Romantic Comedy,0,1698,33150,33150
20170310,Suntan,Romantic Comedy,0,1629,5954,10715
20170301,Contemporary Color,Concert/Performance,0,1451,15305,15305
20170310,Who’s Crazy,Drama,0,1355,3497,3497
20170303,Apprentice,Drama,0,676,2578,2578
20170324,The Levelling,Drama,0,160,3040,118421
20170303,Ben-Gurion: Epilogue,Documentary,0,0,0,0
20170314,Robo-Dog: Airborne,Adventure,0,0,0,0
20170317,Atomica,Thriller/Suspense,0,0,0,0
20170323,I am Battle Comic,Documentary,0,0,0,0
20170317,Burn Your Maps,Adventure,0,0,0,0
20170324,Dig Two Graves,Horror,0,0,0,0
20170314,Easter Mysteries,Musical,0,0,0,0
20170303,1898. Los últimos de Filipinas,Drama,0,0,2848,1995045
20170307,The Lesson,,0,0,0,0
20170317,The Dark Tapes,Horror,0,0,0,0
20170331,Fair Haven,Drama,0,0,0,0
20170303,Catfight,Comedy,0,0,0,2665
20170323,Métamorphoses,Drama,0,0,0,0
20170328,The Marine 5: Battleground,,0,0,0,0
20170314,Canoa,,0,0,0,0
20170324,"Já, Olga Hepnarová",Drama,0,0,0,222058
20170314,The Bitch,,0,0,0,0
20170307,Honeymoon from Hell,,0,0,0,0
20170317,You Can’t Have It,Thriller/Suspense,0,0,0,0
20170307,Departure,Drama,1100000,0,0,27561
20170331,God Knows Where I Am,Documentary,0,0,0,0
20170321,One of Us,,0,0,0,0
20170321,One Under the Sun,Thriller/Suspense,0,0,0,0
20170331,For Here or to Go,Comedy,0,0,0,0
20170310,Actor Martinez,Drama,0,0,0,0
20170328,Bodyslam: Revenge of the Banana!,Documentary,0,0,0,0
20170307,The Christmas Secret,,0,0,0,0
20170321,When Calls the Heart: The Heart of Faith,,0,0,0,0
20170317,American Anarchist,Documentary,0,0,0,0
20170331,Here Alone,Horror,0,0,0,0
20170303,The Settlers,Documentary,0,0,0,0
20170328,The Creeping Garden,Documentary,0,0,0,0
20170303,Wolves,Drama,0,0,0,0
20170321,Bloomin Mud Shuffle,Comedy,0,0,0,0
20170331,Pitching Tents,Comedy,0,0,0,0
20170303,Nakom,Drama,0,0,0,0
20170303,Bloodrunners,Action,0,0,0,0
20170315,Namour,Drama,0,0,0,0
20170307,Resistance,,0,0,0,0
20170324,Walk of Fame,Romantic Comedy,0,0,0,0
20170324,Car Dogs,Comedy,0,0,0,0
20170307,Frank vs. God,,0,0,0,0
20170307,The Wedding March,,0,0,0,0
20170317,All Nighter,Comedy,0,0,0,33483
20170324,House on Willow Street,Horror,0,0,0,0
20170317,Lo Chiamavano Jeeg Robot,Action,0,0,0,5711390
20170307,J.L. Family Ranch,,0,0,0,0
20170310,This Beautiful Fantastic,Romantic Comedy,0,0,0,278602
20170414,The Fate of the Furious,Action,250000000,98786705,225764765,1237466026
20170407,Smurfs: The Lost Village,Adventure,60000000,13210449,45020282,197268034
20170428,How to Be a Latin Lover,Comedy,0,12252439,32149404,57601006
20170407,Going in Style,Comedy,24000000,11932330,45018541,78714211
20170428,Baahubali 2: The Conclusion,Action,30000000,10430497,18985794,263585794
20170428,The Circle,Thriller/Suspense,18000000,9034148,20497844,40651864
20170421,Born in China,Documentary,0,4790367,13873211,23937131
20170421,Unforgettable,Thriller/Suspense,12000000,4785431,11368012,15668012
20170421,The Promise,Drama,90000000,4095718,8224288,10524093
20170407,The Case for Christ,Drama,0,3967885,14678714,17966760
20170421,Phoenix Forgotten,Thriller/Suspense,0,1816499,3600146,3600146
20170428,Sleight,Action,0,1701785,3930990,3934450
20170407,Kimi no na wa,Drama,0,1637510,5000181,342883372
20170421,Free Fire,Action,10000000,994430,1799322,3793739
20170407,Gifted,Drama,0,446380,24801212,31681993
20170428,Jìyì dàshi,Thriller/Suspense,20000000,224942,587470,43326383
20170414,Tommy’s Honour,Drama,0,209190,569306,752698
20170407,Colossal,Drama,0,120226,3194575,4470506
20170414,Spark: A Space Tail,Adventure,0,116873,196458,574776
20170414,The Lost City of Z,Action,0,110175,8574339,17122336
20170414,Norman: The Moderate Rise and Tragic …,Drama,0,99211,3814868,5725235
20170407,Their Finest,Romantic Comedy,0,76197,3603484,12276852
20170407,The Void,Horror,0,50026,151042,152500
20170428,Special Citizen,Drama,0,47128,96777,7232777
20170414,Maudie,Drama,0,45920,6170998,9728506
20170414,A Quiet Passion,Drama,0,45825,1865396,3280158
20170421,Citizen Jane: Battle for the City,Documentary,0,31451,313411,346224
20170421,Jeremiah Tower: The Last Magnificent,Documentary,0,20268,228153,228153
20170407,Truman,Comedy,0,18258,210840,7956176
20170414,Chasing Trane: The John Coltrane Docu…,Documentary,0,16626,406284,406284
20170426,Obit,Documentary,0,16185,312777,312777
20170414,My Entire High School Sinking Into th…,Adventure,0,13684,68883,68883
20170407,Alive and Kicking,Documentary,0,12201,68485,68485
20170407,Bacalaureat,Drama,0,10305,175975,807431
20170414,Black Code,Documentary,0,8790,18846,18846
20170428,Natasha,Drama,0,8325,8325,8325
20170414,Demain,Documentary,0,7377,43471,169068
20170428,Buster’s Mal Heart,Thriller/Suspense,0,7137,73121,73121
20170428,Shavua ve Yom,Drama,0,6833,41614,41614
20170421,Ma Loute,Comedy,0,6696,112481,465552
20170407,Shot! The Psycho-Spiritual Mantra of …,Documentary,0,6694,15157,18288
20170407,The Transfiguration,Drama,0,4605,21926,28450
20170407,Wszystkie Nieprzespane Noce,Documentary,0,4544,20762,20762
